Year,GDP (Bil. US$ nomina),Fossil CO2 Emissions (tons),Population
1977,,45809250.0,
1978,,52549730.0,
1979,,37817810.0,
1980,41.7,41081150.0,1015700.0
1981,,38004770.0,
1982,,38022750.0,
1983,,36753900.0,
1984,,49944890.0,
1985,38.5,51776940.0,1377911.0
1986,,50194310.0,
1987,,52026400.0,
1988,,50943130.0,
1989,,56880050.0,
1990,50.7,56825620.0,1898220.0
1991,,64650910.0,
1992,,62446300.0,
1993,,65840670.0,
1994,,72494640.0,
1995,63.4,77329030.0,2434662.0
1996,,80816770.0,
1997,,84224070.0,
1998,,86399450.0,
1999,,89081930.0,
2000,103.0,88380190.0,3169222.0
2001,,101185500.0,3345839.0
2002,,103449240.0,3546001.0
2003,,108742070.0,3865661.0
2004,,114938680.0,4229858.0
2005,180.6,122379810.0,4585428.0
2006,222.1,127109160.0,4909782.0
2007,257.9,137056910.0,5595152.0
2008,315.5,164163050.0,6497898.0
2009,253.5,165256670.0,6774188.0
2010,300.2,171870560.0,6965488.0
2011,360.8,177172940.0,7243588.0
2012,384.6,185864780.0,7539307.0
2013,400.2,195816000.0,7846755.0
2014,414.1,198824120.0,8272124.0
2015,370.3,207638220.0,8738350.0
2016,369.3,213205470.0,9131839.0
2017,390.5,205196140.0,9314611.0
2018,427.0,187906250.0,9378791.0
2019,418.0,198542020.0,9512778.0
2020,349.5,201002140.0,9289297.0
2021,415.2,214451290.0,9861007.0
2022,507.1,218799350.0,10288946.0
2023,504.2,,10642081.0
2024,527.8,,11027129.0
2025,550.2,,11346000.0
2026,577.8,,
2027,609.5,,
2028,645.3,,
